,index,x,y,docks_num,centrality,centrali_1,AD
56.0,"Guilford Street , Bloomsbury",530507.603308872,182169.53210663496,32,0.060365599829875,0.140722291407223,0.007612281782043288
57.0,"Lisson Grove, St. John's Wood",526893.537252466,182420.030225108,18,0.007479106438931,0.032378580323786,0.00259794041420566
58.0,"Great Dover Street, The Borough",532713.814949319,179331.669209421,33,0.015730909510948,0.100871731008717,0.004958291157406531
59.0,"Cotton Garden Estate, Kennington",531570.709353384,178559.879683479,24,0.00715786301682,0.073474470734745,0.003650423492423366
60.0,"Murray Grove , Hoxton",532599.029203598,183051.396168156,27,0.009681671992774,0.089663760896638,0.004744650107316597
61.0,"William IV Street, Strand",530232.8401601369,180616.698528828,26,0.094084332397294,0.210460772104608,0.006133767955190341
62.0,"Gower Place , Euston",529466.2615030729,182344.974411312,17,0.037046191709539,0.089663760896638,0.004962386676212097
63.0,"Holborn Circus, Holborn",531324.0238593072,181581.125118948,40,0.123568300044656,0.23785803237858,0.018370630321915462
64.0,"Hatton Garden, Holborn",531372.0467179,181686.926321858,28,0.075620294932501,0.168119551681196,0.008911357670882913
65.0,"Theobald's Road , Holborn",530757.925688982,181873.02436541097,26,0.04743798633994,0.119551681195517,0.006035633695593857
66.0,"Euston Road, Euston",529520.2458623148,182453.67381031896,24,0.018820461479704,0.11706102117061,0.007392410361719571
67.0,"Calshot Street , King's Cross",530709.243740585,183064.250965348,24,0.005264842677885,0.033623910336239,0.005123337620225807
68.0,"Newgate Street , St. Paul's",532010.93780254,181318.643904326,34,0.116054302180944,0.230386052303861,0.013211052657039184
69.0,"Farringdon Lane, Clerkenwell",531332.231237205,182209.291928035,16,0.044750288367002,0.103362391033624,0.0034451925605383385
70.0,"Old Street Station, St. Luke's",532621.476193954,182457.722370286,29,0.076592818592229,0.209215442092154,0.008634535441135592
71.0,"Vauxhall Cross, Vauxhall",530322.388847134,177995.752432846,17,0.046013485932582,0.206724782067248,0.003092968894562953
72.0,"Torrens Street, Angel",531502.6591367872,183173.43206003297,19,0.007846075672876,0.063511830635118,0.003610734825429255
73.0,"Longford Street, The Regent's Park",528845.597073624,182381.349983452,21,0.017950960280821,0.063511830635118,0.003245866759027606
74.0,"Russell Square Station, Bloomsbury",530229.511121556,182164.84737976696,26,0.047344293135197,0.10958904109589,0.007532259814332294
75.0,"Sadlers Sports Centre, Finsbury",531946.788105609,182374.53501523696,17,0.040883388774049,0.10958904109589,0.0038289065307887562
76.0,"Arundel Street, Temple",530978.225998551,180884.26812020296,18,0.031340370801447,0.059775840597758,0.005235187152294303
77.0,"Webber Street , Southwark",531831.2797939009,179689.471475275,45,0.034258409181929,0.12079701120797,0.011123046154334992
78.0,"Great Titchfield Street, Fitzrovia",529048.465144867,181784.11414323497,19,0.044610858238199,0.097135740971357,0.005223888802573453
