index,x,y,station_id,residuals4,residuals3,residuals2,residuals1
"Finsbury Square , Moorgate",532908.972569403,181964.165553054,136.0,-0.0017688422549988897,0.019308860270333898,0.0029912598937521517,0.015333333195225535
"Chapel Place, Marylebone",528659.771725151,181220.543516726,137.0,-0.0034506458203821117,0.003206666509254087,-0.02019570044315272,-0.04355153892197493
"West Cromwell Road, Earl's Court",525175.536920423,178729.498842133,138.0,0.000912065871952434,0.005280775948158075,0.04011453169340032,0.005118880861627817
"Pont Street, Knightsbridge",527736.79185673,179160.016496554,139.0,0.0017865674336500457,0.01817457084342146,0.03595654105056517,0.026414902468898188
"Kennington Cross, Kennington",531215.415095632,178351.787476919,140.0,0.0331064614838849,0.0029712028874705927,0.1396374058115947,0.05884386108416892
"Ilchester Place, Kensington",524840.514824002,179508.137874396,141.0,-0.010635452818141681,-0.03015036389371472,-0.1035869405196563,-0.06077965613702686
"Vauxhall Bridge , Pimlico",529974.60049757,178263.160331475,142.0,-0.007374977771676599,-0.013441517084679628,-0.076414300642807,-0.04325196780655902
"Tachbrook Street, Victoria",529336.434255922,178660.549064403,143.0,0.020700038013463193,0.019730196497143096,0.08252928818198527,0.028707249117217337
"Kennington Road Post Office, Oval",531275.198416061,177901.737362441,144.0,0.00517907869524413,-0.014542418778396671,-0.030558044002936158,0.010653002544466592
"Holy Trinity Brompton, Knightsbridge",527201.772608756,179157.080974801,145.0,-0.001673042988156813,-0.01053127511656659,-0.0042150244041030405,-0.01615876874826916
"Chepstow Villas, Notting Hill",524893.141065327,180778.755336532,146.0,-0.005073001119713604,-0.005607140147552123,-0.027846912307788046,-0.0009522255326586543
"Hampton Street, Walworth",531892.485071298,178731.555965076,147.0,0.018132895846699512,-0.0030826584870014516,0.055147981556025655,0.04348361226165305
"Bayswater Road, Hyde Park",526778.557477717,180803.537200594,148.0,0.009871661607847484,-0.011719896358877331,0.07994506862658815,0.022254200614463412
"Waterloo Station 3, Waterloo",531076.324308439,180004.177484321,149.0,0.051145809723890025,-0.02635703229753087,0.15044358656904755,0.17428906846606065
"Lexham Gardens, Kensington",525607.817295559,178989.78691151,150.0,0.006694745561625099,0.0032750480039252586,0.0312738688663762,0.03897277761734233
"New Kent Road, The Borough",532494.541349124,179000.066448205,151.0,0.01428027769261176,0.0018333573508725557,0.0393402989608167,-0.020669135361221225
"Wright's Lane, Kensington",525515.548208144,179489.733734857,152.0,0.0036525472522838665,0.007040582625830131,0.057068109387323374,0.04007204634604118
"Trebovir Road, Earl's Court",525325.49944702,178422.962701696,153.0,-0.004213245043640561,-0.005988043428397432,-0.003337241116153411,0.005252775406886262
"Waterloo Place, St. James's",529748.027263416,180284.65078785896,154.0,0.014096838825599436,0.017053528198262467,0.07691442762775821,0.007697884600998212
"Guildhouse Street, Victoria",529127.041011246,178679.135890343,155.0,-0.0009739935480941805,-0.0164489823048993,-0.044351937011493536,-0.06219914916240581
"Southampton Place, Holborn",530444.150968258,181524.383935434,156.0,0.009226081419264835,0.028733181257843306,0.09316050310253088,-0.014969455954409627
"Sloane Avenue, Knightsbridge",527281.404219182,178723.654296123,157.0,0.004610399781715634,0.01776132945610593,0.05826312992280491,0.05425110335451343
"Cleveland Gardens, Bayswater",526170.658134689,181191.05713938497,158.0,-0.0071499097539809466,0.011629991398591454,-0.006974662279821381,0.034114086206757495
"Orsett Terrace, Bayswater",526119.297155308,181449.732640566,159.0,-0.013071897397809036,-0.011410316029575292,-0.08322835637526974,-0.04150575379422724
"Seville Street, Knightsbridge",527856.932106844,179706.961270305,160.0,0.003222847663461377,0.00759705247818936,0.06333455887195549,-0.0212474667338355
"Eccleston Place, Victoria",528687.632667502,178849.904197908,161.0,-0.0061683516295767335,0.00099435531775309,0.03103347260436673,0.0473465557424009
"Argyll Road, Kensington",525346.812294866,179480.924504371,162.0,-0.019894591331430966,-0.025887191105211798,-0.102649085954932,-0.07941452595209691
"Porchester Place, Paddington",527417.299374602,181134.492848861,163.0,0.008813278770895817,0.015159375670606247,0.0915733403017403,0.05757696919675925
"Hardwick Street, Clerkenwell",531338.702168376,182683.97061133097,164.0,-0.020115630980934933,-0.02164220280384193,-0.09894206995470649,-0.08160133953314391
"Collingham Gardens, Earl's Court",525975.871055561,178519.826425312,165.0,0.00012486397001479008,-0.008298551629701835,-0.004989776265312135,0.013383184731943054
"Sumner Place, South Kensington",526888.163545888,178500.967414965,166.0,-0.010841688049605204,-0.01234750711566605,-0.0326411790119909,-0.0021839673588520264
"Waterloo Road, South Bank",531061.255345783,180123.732792477,167.0,0.0030272929377627156,-0.0241294141303054,-0.0546142335051219,-0.022044191197161514
"Strand, Strand",530893.773773035,180985.685326908,168.0,0.01777629405006078,0.032048806421992565,0.23353855899002035,0.020048835782400687
"Worship Street, Shoreditch",533328.907796928,182049.543998353,169.0,-0.010120784079119129,0.04999622782113253,0.06411464840391598,0.05567771755623893
"Gloucester Terrace, Bayswater",525815.972173018,181440.42623335,170.0,-0.010369105248384601,-0.003884161216379522,-0.026651857548959212,-0.008625418893765904
"Ashley Place, Victoria",529145.924059783,179108.814626037,171.0,0.0009710426983336046,0.03827741578141366,0.018297352727569605,0.08116689491959483
"Warwick Square, Pimlico",529099.685476348,178408.789725275,172.0,0.013382050270718992,0.021891489614959833,0.09356667748957259,0.054264907159590134
"North Audley Street, Mayfair",528217.714708174,180948.16034871896,173.0,0.004708621846626477,0.003216255072091976,0.06408334783449968,-0.008624929461163264
"Belgrave Square, Belgravia",528354.116008535,179451.275338553,174.0,-6.633155591500434e-05,0.00816059791749188,0.008316696024189274,-0.003863971931117316
"Bell Street , Marylebone",527347.766529556,181936.991127386,175.0,-0.0018484678097076199,0.004708477600281199,-0.01867466419901395,0.038176042181908634
"Riverlight North, Nine Elms",529522.159132518,177578.33191762,176.0,0.02470753366010073,-0.011330446911546103,0.08140667318270284,0.040903563885379565
"Portland Place, Marylebone",528787.02668496,181831.514907944,177.0,0.0036127021987147102,-0.003611298713699515,0.05605640109438753,0.0100168014537666
"Alderney Street, Pimlico",529183.198416384,178205.485596225,178.0,0.023605712292883364,0.019194567841744406,0.11789460564746329,0.05796977938142826
