index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance,leisure,residence,shopping,university,restaurant
"Warwick Avenue Station, Maida Vale",526092.396471061045304,182056.136986872996204,46.000000000000000,526092.396471061045304,182056.136986872996204,"19",0.0016036,200.000000,1904.53628,"4","1",0.1369863010,0.2216687420,0.00001,0.0098250970,0.0386705530,0.00001,1.00000,2.00000,5.00000,0.00001,5.00000
"Godliman Street, St. Paul's",532005.452526496956125,180996.887338742992142,47.000000000000000,532005.452526496956125,180996.887338742992142,"25",0.0065211,200.000000,126.43896,"6","0",0.1145703610,0.2129514320,12.43709,0.0512368900,0.0309636610,1.00000,7.00000,6.00000,4.00000,0.00001,5.00000
"Curzon Street, Mayfair",528769.578966837027110,180314.093496067012893,48.000000000000000,528769.578966837027110,180314.093496067012893,"16",0.0248370,200.000000,745.95905,"1","0",0.1046077210,0.2166874220,0.00001,0.0455838470,0.0250448380,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"East Road, Hoxton",532757.589711835957132,182819.660189854999771,49.000000000000000,532757.589711835957132,182819.660189854999771,"27",0.0053754,200.000000,2273.24490,"6","0",0.0859277700,0.1768368610,14.52620,0.0190423440,0.0259954540,1.00000,2.00000,0.00001,4.00000,0.00001,1.00000
"Finsbury Library , Finsbury",531602.512747806962579,182564.957739675010089,50.000000000000000,531602.512747806962579,182564.957739675010089,"29",0.0074258,200.000000,2543.44145,"6","0",0.0709838100,0.1780821910,6.06804,0.0315692610,0.0315538180,1.00000,2.00000,0.00001,2.00000,0.00001,0.00001
"Roscoe Street, St. Luke's",532256.340869078994729,182165.843277003004914,51.000000000000000,532256.340869078994729,182165.843277003004914,"18",0.0044850,200.000000,3032.91290,"4","0",0.1058530510,0.2117061020,11.82579,0.0273439930,0.0405013000,0.00001,2.00000,2.00000,7.00000,0.00001,5.00000
"Grafton Street, Mayfair",528933.064764512004331,180636.588990235002711,52.000000000000000,528933.064764512004331,180636.588990235002711,"18",0.0069293,200.000000,184.19940,"3","0",0.0709838100,0.1743462010,0.00001,0.0377055740,0.0207557690,0.00001,0.00001,0.00001,2.00000,0.00001,3.00000
"Golden Lane, Barbican",532303.140402839053422,182036.324288911011536,53.000000000000000,532303.140402839053422,182036.324288911011536,"27",0.0071814,200.000000,2299.03039,"2","0",0.0983810710,0.2067247820,3.93179,0.0279536570,0.0379912980,2.00000,1.00000,1.00000,4.00000,0.00001,2.00000
"Finsbury Circus, Liverpool Street",532848.260506849037483,181532.182707809988642,54.000000000000000,532848.260506849037483,181532.182707809988642,"33",0.0075968,200.000000,27.78663,"6","1",0.3412204230,0.4109589040,1.98130,0.1235300190,0.0528315690,4.00000,0.00001,5.00000,9.00000,0.00001,6.00000
"Paddington Street, Marylebone",528124.614277994027361,181796.310490989009850,55.000000000000000,528124.614277994027361,181796.310490989009850,"16",0.0037078,200.000000,2163.93255,"2","0",0.1145703610,0.2478206720,9.15601,0.0319941000,0.0325891510,0.00001,1.00000,1.00000,3.00000,0.00001,2.00000
"Guilford Street , Bloomsbury",530507.603308871970512,182169.532106634986121,56.000000000000000,530507.603308871970512,182169.532106634986121,"32",0.0076123,200.000000,2168.10056,"0","0",0.1407222910,0.2988792030,20.28574,0.0603655990,0.0431499470,0.00001,3.00000,1.00000,8.00000,0.00001,2.00000
"Lisson Grove, St. John's Wood",526893.537252465961501,182420.030225107999286,57.000000000000000,526893.537252465961501,182420.030225107999286,"18",0.0025979,200.000000,2291.47834,"3","0",0.0323785800,0.0958904110,1.75217,0.0074791060,0.0143398930,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Great Dover Street, The Borough",532713.814949318999425,179331.669209421001142,58.000000000000000,532713.814949318999425,179331.669209421001142,"33",0.0049583,200.000000,2339.80168,"3","0",0.1008717310,0.2341220420,3.03833,0.0157309090,0.0506254140,0.00001,1.00000,1.00000,2.00000,0.00001,0.00001
"Cotton Garden Estate, Kennington",531570.709353383979760,178559.879683478997322,59.000000000000000,531570.709353383979760,178559.879683478997322,"24",0.0036504,200.000000,2981.11968,"4","0",0.0734744700,0.1195516810,14.48835,0.0071578630,0.0270035720,0.00001,0.00001,0.00001,3.00000,0.00001,3.00000
"Murray Grove , Hoxton",532599.029203598038293,183051.396168156003114,60.000000000000000,532599.029203598038293,183051.396168156003114,"27",0.0047447,200.000000,3450.88342,"3","0",0.0896637600,0.1681195510,14.52620,0.0096816720,0.0295812400,0.00001,3.00000,0.00001,7.00000,0.00001,1.00000
"William IV Street, Strand",530232.840160137042403,180616.698528828012059,61.000000000000000,530232.840160137042403,180616.698528828012059,"26",0.0061338,200.000000,517.93049,"7","0",0.2104607720,0.4383561640,6.30805,0.0940843320,0.0756343240,0.00001,5.00000,6.00000,5.00000,0.00001,7.00000
"Gower Place , Euston",529466.261503073037602,182344.974411311995937,62.000000000000000,529466.261503073037602,182344.974411311995937,"17",0.0049624,200.000000,948.00243,"6","1",0.0896637600,0.2478206720,5.40802,0.0370461910,0.0281595310,1.00000,1.00000,2.00000,1.00000,0.00001,0.00001
"Holborn Circus, Holborn",531324.023859307053499,181581.125118947995361,63.000000000000000,531324.023859307053499,181581.125118947995361,"40",0.0183706,200.000000,516.07772,"9","0",0.2378580320,0.4072229140,4.01754,0.1235683000,0.0480490920,1.00000,2.00000,1.00000,0.00001,0.00001,1.00000
"Hatton Garden, Holborn",531372.046717899967916,181686.926321857987205,64.000000000000000,531372.046717899967916,181686.926321857987205,"28",0.0089114,200.000000,792.95944,"8","0",0.1681195510,0.2976338730,50.93765,0.0756202940,0.0346008630,7.00000,0.00001,2.00000,38.00000,0.00001,3.00000
"Theobald's Road , Holborn",530757.925688982009888,181873.024365410994506,65.000000000000000,530757.925688982009888,181873.024365410994506,"26",0.0060356,200.000000,1415.74099,"3","0",0.1195516810,0.2739726020,8.65210,0.0474379860,0.0390913990,0.00001,2.00000,1.00000,10.00000,1.00000,1.00000
