index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,finance,food_drink,hospital,residence,leisure,shopping,school,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance1,leisure1,residence1,restaurant,university,shopping1,tube_acce
"Central House, Aldgate",534002.4726,181348.1952,33,534002.4726,181348.1952,18,0.0030308,200,1,17,0.00001,1,7,9,2,1405.69528,5,1,0.0747198,0.261519302,5.49718,0.016380036,0.045907922,1,1,0.00001,8,1,1,0.82998
"Pancras Road, King's Cross",529837.243,183345.4888,34,529837.243,183345.4888,16,0.0019479,200,0.00001,0.00001,0.00001,3,2,1,0.00001,770.94389,2,0.00001,0.07721046,0.113325031,9.08556,0.019089702,0.019143876,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.07792
"De Vere Gardens, Kensington",526073.2726,179650.1308,35,526073.2726,179650.1308,28,0.0138249,200,0.00001,7,0.00001,3,5,1,0.00001,1148.24676,6,0.00001,0.07721046,0.190535491,0.00001,0.015632203,0.028284123,0.00001,0.00001,0.00001,5,0.00001,0.00001,0.06472
"Penywern Road, Earl's Court",525587.3918,178512.1959,36,525587.3918,178512.1959,17,0.0028682,200,1,3,1,1,0.00001,1,0.00001,2494.26759,3,1,0.127023661,0.240348692,9.30767,0.007388032,0.03182064,1,0.00001,0.00001,1,0.00001,1,0.84768
"Abingdon Villas, Kensington",525233.7825,179149.7034,37,525233.7825,179149.7034,17,0.002518,200,0.00001,6,4,4,5,6,0.00001,1276.0825,4,0.00001,0.05479452,0.139476961,0.00001,0.008126789,0.016827567,0.00001,0.00001,0.00001,3,0.00001,0.00001,0.07122
"Shoreditch High Street, Shoreditch",533424.6161,182579.6421,38,533424.6161,182579.6421,41,0.0070647,200,2,25,0.00001,0.00001,4,8,1,1390.82863,8,0.00001,0.164383561,0.383561643,0.00001,0.052963967,0.066120575,2,1,0.00001,8,0.00001,6,0.07273
"Commercial Street, Shoreditch",533615.7939,182020.0054,39,533615.7939,182020.0054,16,0.0035131,200,1,9,0.00001,4,7,6,1,1035.16246,5,0.00001,0.07098381,0.214196762,50.65566,0.018359259,0.034601782,1,0.00001,2,4,0.00001,3,0.0974
"Pindar Street, Liverpool Street",533062.3112,181968.5653,40,533062.3112,181968.5653,24,0.0107628,200,0.00001,2,0.00001,0.00001,3,0.00001,0.00001,232.92207,6,0.00001,0.08592777,0.103362391,7.53774,0.049589899,0.007598499,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.10274
"Wenlock Road , Hoxton",532306.4029,183062.7873,41,532306.4029,183062.7873,28,0.005076,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1398.94517,1,0.00001,0.128268991,0.245330012,12.70236,0.026364662,0.040773459,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.05696
"Crawford Street, Marylebone",527953.8372,181752.5992,42,527953.8372,181752.5992,18,0.004277,200,0.00001,21,0.00001,5,3,3,0.00001,2304.97814,3,0.00001,0.140722291,0.273972602,0.00001,0.036264453,0.03874775,0.00001,0.00001,0.00001,9,0.00001,0.00001,0.18158
"Bruton Street, Mayfair",528880.3048,180723.9965,43,528880.3048,180723.9965,21,0.0080158,200,1,17,0.00001,9,4,37,0.00001,259.20588,3,0.00001,0.07098381,0.171855541,0.00001,0.034045665,0.017421794,1,0.00001,0.00001,7,0.00001,34,0.1034
"Boston Place, Marylebone",527593.3191,182000.5331,44,527593.3191,182000.5331,26,0.0083599,200,2,8,1,5,2,9,0.00001,1864.592,10,1,0.241594022,0.317559153,12.47848,0.023659603,0.065330303,2,0.00001,1,0.00001,0.00001,0.00001,0.84578
"Nesham Street, Wapping",534249.3414,180467.1349,45,534249.3414,180467.1349,16,0.0024169,200,0.00001,2,1,0.00001,2,0.00001,0.00001,1444.74104,4,0.00001,0.130759651,0.283935242,78.55582,0.026423733,0.054904881,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.10458
"Warwick Avenue Station, Maida Vale",526092.3965,182056.137,46,526092.3965,182056.137,19,0.0016036,200,0.00001,7,0.00001,2,1,7,0.00001,1904.53628,4,1,0.136986301,0.221668742,0.00001,0.009825097,0.038670553,0.00001,1,0.00001,5,0.00001,1,0.76152
"Godliman Street, St. Paul's",532005.4525,180996.8873,47,532005.4525,180996.8873,25,0.0065211,200,1,12,0.00001,6,7,4,0.00001,126.43896,6,0.00001,0.114570361,0.212951432,12.43709,0.05123689,0.030963661,1,1,0.00001,5,0.00001,1,0.19254
"Curzon Street, Mayfair",528769.579,180314.0935,48,528769.579,180314.0935,16,0.024837,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,745.95905,1,0.00001,0.104607721,0.216687422,0.00001,0.045583847,0.025044838,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.13565
"East Road, Hoxton",532757.5897,182819.6602,49,532757.5897,182819.6602,27,0.0053754,200,1,4,2,0.00001,2,4,0.00001,2273.2449,6,0.00001,0.08592777,0.176836861,14.5262,0.019042344,0.025995454,1,0.00001,0.00001,1,0.00001,0.00001,0.09607
"Finsbury Library , Finsbury",531602.5127,182564.9577,50,531602.5127,182564.9577,29,0.0074258,200,1,1,0.00001,0.00001,2,2,2,2543.44145,6,0.00001,0.07098381,0.178082191,6.06804,0.031569261,0.031553818,1,0.00001,1,0.00001,0.00001,0.00001,0.06679
"Roscoe Street, St. Luke's",532256.3409,182165.8433,51,532256.3409,182165.8433,18,0.004485,200,0.00001,9,0.00001,2,2,7,0.00001,3032.9129,4,0.00001,0.105853051,0.211706102,11.82579,0.027343993,0.0405013,0.00001,0.00001,1,5,0.00001,1,0.09292
"Grafton Street, Mayfair",528933.0648,180636.589,52,528933.0648,180636.589,18,0.0069293,200,0.00001,4,0.00001,0.00001,0.00001,2,0.00001,184.1994,3,0.00001,0.07098381,0.174346201,0.00001,0.037705574,0.020755769,0.00001,0.00001,0.00001,3,0.00001,2,0.10833
"Golden Lane, Barbican",532303.1404,182036.3243,53,532303.1404,182036.3243,27,0.0071814,200,2,6,1,1,2,5,0.00001,2299.03039,2,0.00001,0.098381071,0.206724782,3.93179,0.027953657,0.037991298,2,0.00001,0.00001,2,0.00001,0.00001,0.10297
"Finsbury Circus, Liverpool Street",532848.2605,181532.1827,54,532848.2605,181532.1827,33,0.0075968,200,4,16,6,5,0.00001,9,0.00001,27.78663,6,1,0.341220423,0.410958904,1.9813,0.123530019,0.052831569,4,0.00001,0.00001,6,0.00001,8,0.20322
"Paddington Street, Marylebone",528124.6143,181796.3105,55,528124.6143,181796.3105,16,0.0037078,200,0.00001,2,0.00001,1,1,3,0.00001,2163.93255,2,0.00001,0.114570361,0.247820672,9.15601,0.0319941,0.032589151,0.00001,0.00001,0.00001,2,0.00001,1,0.17556
"Guilford Street , Bloomsbury",530507.6033,182169.5321,56,530507.6033,182169.5321,32,0.0076123,200,0.00001,7,2,1,3,8,0.00001,2168.10056,0,0.00001,0.140722291,0.298879203,20.28574,0.060365599,0.043149947,0.00001,0.00001,0.00001,2,0.00001,4,0.09793
"Lisson Grove, St. John's Wood",526893.5373,182420.0302,57,526893.5373,182420.0302,18,0.0025979,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2291.47834,3,0.00001,0.03237858,0.095890411,1.75217,0.007479106,0.014339893,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.05048
"Great Dover Street, The Borough",532713.8149,179331.6692,58,532713.8149,179331.6692,33,0.0049583,200,0.00001,2,0.00001,1,1,2,0.00001,2339.80168,3,0.00001,0.100871731,0.234122042,3.03833,0.015730909,0.050625414,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.14242
"Cotton Garden Estate, Kennington",531570.7094,178559.8797,59,531570.7094,178559.8797,24,0.0036504,200,0.00001,9,2,0.00001,0.00001,3,0.00001,2981.11968,4,0.00001,0.07347447,0.119551681,14.48835,0.007157863,0.027003572,0.00001,0.00001,0.00001,3,0.00001,0.00001,0.19261
"Murray Grove , Hoxton",532599.0292,183051.3962,60,532599.0292,183051.3962,27,0.0047447,200,0.00001,6,1,0.00001,3,7,0.00001,3450.88342,3,0.00001,0.08966376,0.168119551,14.5262,0.009681672,0.02958124,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.06062
"William IV Street, Strand",530232.8402,180616.6985,61,530232.8402,180616.6985,26,0.0061338,200,0.00001,15,1,6,5,5,0.00001,517.93049,7,0.00001,0.210460772,0.438356164,6.30805,0.094084332,0.075634324,0.00001,1,1,7,0.00001,3,0.44844
"Gower Place , Euston",529466.2615,182344.9744,62,529466.2615,182344.9744,17,0.0049624,200,1,1,0.00001,2,1,1,0.00001,948.00243,6,1,0.08966376,0.247820672,5.40802,0.037046191,0.028159531,1,0.00001,0.00001,0.00001,0.00001,0.00001,1.51431
