index,nearest_x,nearest_y,station_id,x,y,centrality,centrali_1,docks_num
"Exhibition Road Museums 1, South Kensington",526865.429089313955046,179083.590632767998613,398.000000000000000,526865.429089313955046,179083.590632767998613,0.021545317066407,0.072229140722291,"13"
"Wren Street, Holborn",530783.452063338947482,182313.685862012993312,399.000000000000000,530783.452063338947482,182313.685862012993312,0.045447615937849,0.109589041095890,"33"
"Kennington Station, Kennington",531630.037915601977147,178352.038761898002122,400.000000000000000,531630.037915601977147,178352.038761898002122,0.008496718462410,0.082191780821918,"23"
"Red Lion Street, Holborn",530774.545158699969761,181604.694756129989401,401.000000000000000,530774.545158699969761,181604.694756129989401,0.078195999194889,0.139476961394770,"36"
"Vauxhall Walk, Vauxhall",530563.805144011043012,178248.390320875012549,402.000000000000000,530563.805144011043012,178248.390320875012549,0.021486832793750,0.067247820672478,"27"
"Killick Street, King's Cross",530581.901559129008092,183331.498216575011611,403.000000000000000,530581.901559129008092,183331.498216575011611,0.005602279143262,0.029887920298879,"22"
"Kennington Oval, Oval",531114.498808859963901,177708.695664802013198,404.000000000000000,531114.498808859963901,177708.695664802013198,0.017690482011104,0.115815691158157,"33"
"Sail Street, Vauxhall",530969.270764146000147,179098.018052242987324,405.000000000000000,530969.270764146000147,179098.018052242987324,0.017143346616473,0.067247820672478,"24"
"Walmer Road, Avondale",524225.667270192003343,180536.964551470009610,406.000000000000000,524225.667270192003343,180536.964551470009610,0.004285014198027,0.042341220423412,"24"
"Philpot Street, Whitechapel",534799.068143749958836,181377.296776220988249,407.000000000000000,534799.068143749958836,181377.296776220988249,0.012799538741550,0.095890410958904,"30"
"Bethnal Green Garden, Bethnal Green",535012.208785776980221,182545.452962195995497,408.000000000000000,535012.208785776980221,182545.452962195995497,0.007290613798155,0.069738480697385,"24"
"Cheshire Street, Bethnal Green",534334.805265167029575,182325.471091229992453,409.000000000000000,534334.805265167029575,182325.471091229992453,0.007341580896279,0.070983810709838,"28"
"York Hall, Bethnal Green",534950.158267174963839,182901.618538457987597,410.000000000000000,534950.158267174963839,182901.618538457987597,0.014396542095587,0.109589041095890,"27"
"Jubilee Crescent, Cubitt Town",538422.579929576953873,179046.770237985008862,411.000000000000000,538422.579929576953873,179046.770237985008862,0.003907103667964,0.028642590286426,"54"
"Fisherman's Walk West, Canary Wharf",537305.587627656990662,180440.813204539008439,412.000000000000000,537305.587627656990662,180440.813204539008439,0.021320297685054,0.057285180572852,"36"
"Shadwell Station, Shadwell",534917.935504512046464,180921.139465109008597,413.000000000000000,534917.935504512046464,180921.139465109008597,0.014895615837097,0.099626400996264,"35"
"Jubilee Street, Stepney",535186.666576485964470,181468.275337803992443,414.000000000000000,535186.666576485964470,181468.275337803992443,0.010791316588406,0.073474470734745,"28"
"Hermitage Court, Wapping",534495.152324381051585,180198.176440990995616,415.000000000000000,534495.152324381051585,180198.176440990995616,0.011075580632957,0.089663760896638,"16"
"St. Katharine's Way, Tower",534006.345738135045394,180295.078675761003979,416.000000000000000,534006.345738135045394,180295.078675761003979,0.016705045542962,0.099626400996264,"24"
"Garnet Street, Shadwell",535068.594766800990328,180628.306186025991337,417.000000000000000,535068.594766800990328,180628.306186025991337,0.009871523524848,0.058530510585305,"24"
"Napier Avenue, Millwall",537456.384614260052331,178379.551493128994480,418.000000000000000,537456.384614260052331,178379.551493128994480,0.000340378704379,0.023661270236613,"20"
"East Ferry Road, Cubitt Town",537943.098940595984459,179148.951535767992027,419.000000000000000,537943.098940595984459,179148.951535767992027,0.002595024555516,0.013698630136986,"17"
"Parkway, Camden Town",528775.787781451013871,183756.324428802996408,420.000000000000000,528775.787781451013871,183756.324428802996408,0.004773426489872,0.063511830635118,"33"
"Castlehaven Road, Camden Town",528712.838122091023251,184208.073607736005215,421.000000000000000,528712.838122091023251,184208.073607736005215,0.008448346169643,0.087173100871731,"29"
"Wapping Lane, Wapping",534917.450528271961957,180218.864329567993991,422.000000000000000,534917.450528271961957,180218.864329567993991,0.021462615858877,0.108343711083437,"28"
"Gunmakers Lane, Old Ford",536498.804904152988456,183633.846406841010321,423.000000000000000,536498.804904152988456,183633.846406841010321,0.001707734299705,0.072229140722291,"17"
"Burdett Road, Mile End",536843.061201771022752,181536.499242223013425,424.000000000000000,536843.061201771022752,181536.499242223013425,0.008049025371765,0.094645080946451,"33"
"Aston Street, Stepney",536187.145294909947552,181497.619419802998891,425.000000000000000,536187.145294909947552,181497.619419802998891,0.003386916692380,0.052303860523039,"26"
"Bonny Street, Camden Town",529164.088816617033444,184168.013810387987178,426.000000000000000,529164.088816617033444,184168.013810387987178,0.020404618738801,0.144458281444583,"45"
"Thurtle Road, Haggerston",533833.700061041978188,183525.787945196003420,427.000000000000000,533833.700061041978188,183525.787945196003420,0.007743880008767,0.057285180572852,"22"
"St. Mary & St. Michael Church, Stepney",535261.414885943988338,181269.576299704000121,428.000000000000000,535261.414885943988338,181269.576299704000121,0.002794359969561,0.019925280199253,"25"
"Pitfield Street North,Hoxton",533090.704700876958668,183598.664738936990034,429.000000000000000,533090.704700876958668,183598.664738936990034,0.029369032253905,0.189290161892902,"28"
"Whiston Road, Haggerston",533518.749987710034475,183487.454168592987116,430.000000000000000,533518.749987710034475,183487.454168592987116,0.010549994100191,0.052303860523039,"21"
"Southern Grove, Bow",536720.756255434942432,182349.629035143996589,431.000000000000000,536720.756255434942432,182349.629035143996589,0.002122297579454,0.052303860523039,"17"
"Cantrell Road, Bow",537278.421581989969127,182143.746066813997459,432.000000000000000,537278.421581989969127,182143.746066813997459,0.002837183179997,0.038605230386052,"24"
"Lindfield Street, Poplar",537456.024071773979813,181285.344827885011910,433.000000000000000,537456.024071773979813,181285.344827885011910,0.005169148976860,0.052303860523039,"44"
"Mostyn Grove, Bow",537060.976358894957229,183142.187952884996776,434.000000000000000,537060.976358894957229,183142.187952884996776,0.003530054409448,0.057285180572852,"46"
"Hewison Street, Old Ford",536867.035497043048963,183435.414311236003414,435.000000000000000,536867.035497043048963,183435.414311236003414,0.001772632920313,0.062266500622665,"19"
"Malmesbury Road, Bow",536912.183104205993004,183019.514454646006925,436.000000000000000,536912.183104205993004,183019.514454646006925,0.002431203613999,0.023661270236613,"21"
"Millharbour, Millwall",537594.578451995970681,179325.124868100014282,437.000000000000000,537594.578451995970681,179325.124868100014282,0.000210964316652,0.018679950186800,"19"
"Gascoyne Road, Victoria Park",536118.351821311051026,184334.408640348992776,438.000000000000000,536118.351821311051026,184334.408640348992776,0.005390932672208,0.039850560398506,"20"
"Lightermans Road, Millwall",537521.632046408951283,179643.068844008987071,439.000000000000000,537521.632046408951283,179643.068844008987071,0.005153767095893,0.049813200498132,"31"
