Start.station,End.station,Counts
"Wormwood Street, Liverpool Street","Hop Exchange, The Borough",23
"Waterloo Station 3, Waterloo","Crosswall, Tower",23
"Waterloo Station 1, Waterloo","Queen Street 2, Bank",23
"Roscoe Street, St. Luke's","Hampstead Road, Euston",23
"Falcon Road, Clapham Junction","Alderney Street, Pimlico",23
"Shoreditch Park, Hoxton","Finsbury Circus, Liverpool Street",23
"Waterloo Station 1, Waterloo","Stonecutter Street, Holborn",23
"Waterloo Station 3, Waterloo","Park Street, Bankside",23
"Waterloo Station 1, Waterloo","Godliman Street, St. Paul's",23
"Mostyn Grove, Bow","Bow Road Station, Bow",23
"Penywern Road, Earl's Court","Sumner Place, South Kensington",23
"Belgrove Street , King's Cross","Page Street, Westminster",23
"Lee Valley VeloPark, Queen Elizabeth Olympic Park","Stratford Station, Stratford",23
"Black Prince Road, Vauxhall","Bedford Way, Bloomsbury",23
"Drayton Gardens, West Chelsea","Gloucester Road Station, South Kensington",23
"Bethnal Green Road, Shoreditch","Brushfield Street, Liverpool Street",23
"Jubilee Street, Stepney","Royal London Hospital, Whitechapel",23
"Greyhound Road, Hammersmith","Michael Road, Walham Green",23
"St. John's Wood Road, St. John's Wood","Denyer Street, Knightsbridge",22
"Waterloo Station 3, Waterloo","St. Mary Axe, Aldgate",22
"Bell Lane, Liverpool Street","Royal London Hospital, Whitechapel",22
"Blythe Road West, Shepherd's Bush","Woodstock Grove, Shepherd's Bush",22
"Calshot Street , King's Cross","Cheapside, Bank",22
"Waterloo Station 1, Waterloo","Berry Street, Clerkenwell",22
"Kennington Lane Rail Bridge, Vauxhall","Lambeth Road, Vauxhall",22
"Erin Close, Walham Green","William Morris Way, Sands End",22
"Berry Street, Clerkenwell","Museum of London, Barbican",22
"Islington Green, Angel","Northington Street , Holborn",22
"Waterloo Station 1, Waterloo","Newgate Street , St. Paul's",22
"Waterloo Station 1, Waterloo","St. Bride Street, Holborn",22
"King Edward Walk, Waterloo","Millennium Hotel, Mayfair",22
"Waterloo Station 1, Waterloo","Queen Street 1, Bank",22
"Aintree Street, Fulham","Barons Court Station, West Kensington",22
"Jubilee Street, Stepney","Finnis Street, Bethnal Green",22
"Exhibition Road, Knightsbridge","South Kensington Station, South Kensington",21
"Canada Water Station, Rotherhithe","Old Street Station, St. Luke's",21
"Waterloo Station 3, Waterloo","Fore Street, Guildhall",21
"Hollybush Gardens, Bethnal Green","Wellington Row, Bethnal Green",21
"Stephendale Road, Sands End","Putney Rail Station, Putney",21
"Sun Street, Liverpool Street","Clerkenwell Green, Clerkenwell",21
"Queen Mother Sports Centre, Victoria","Farringdon Street, Holborn",21
"Furze Green, Bow","New Inn Yard, Shoreditch",21
"Palissy Street, Shoreditch","Braham Street, Aldgate",21
"Lower Marsh, Waterloo","Bath Street, St. Luke's",21
"Aintree Street, Fulham","Exhibition Road Museums 2, South Kensington",21
"Charlbert Street, St. John's Wood","Wellington Road, St. John's Wood",21
"Shoreditch Park, Hoxton","Pindar Street, Liverpool Street",21
"Old Brompton Road, South Kensington","Sackville Street, Mayfair",21
"Waterloo Station 3, Waterloo","Montpelier Street, Knightsbridge",21
"Waterloo Station 1, Waterloo","Wormwood Street, Liverpool Street",21
"Eccleston Place, Victoria","Upcerne Road, West Chelsea",21
"Waterloo Station 1, Waterloo","Tallis Street, Temple",21
"Duke Street Hill, London Bridge","Wormwood Street, Liverpool Street",21
"Maida Vale, Maida Vale","Broadley Terrace, Marylebone",21
"Durant Street, Bethnal Green","Bonner Gate, Victoria Park",21
"Waterloo Station 3, Waterloo","Christopher Street, Liverpool Street",21
"Curlew Street, Shad Thames","Queen Street 2, Bank",21
"Bishop's Avenue, Fulham","Green Park Station, Mayfair",21
"Wren Street, Holborn","Belgrove Street , King's Cross",21
"Normandy Road, Stockwell","Binfield Road, Stockwell",21
"Waterloo Station 1, Waterloo","Red Lion Street, Holborn",21
"Hermitage Court, Wapping","Wapping Lane, Wapping",21
"St. John Street, Finsbury","Fore Street, Guildhall",21
"William IV Street, Strand","Warren Street Station, Euston",21
"Battersea Park Road, Nine Elms","Vauxhall Cross, Vauxhall",21
"Gas Holders, Battersea Park","St. Bride Street, Holborn",21
"Alderney Street, Pimlico","Stonecutter Street, Holborn",21
"Penywern Road, Earl's Court","Gloucester Road (North), Kensington",21
"Kensington Olympia Station, Olympia","Woodstock Grove, Shepherd's Bush",21
"Waterloo Station 3, Waterloo","Kingsway Southbound, Strand",21
"Waterloo Station 1, Waterloo","Blackfriars Station, St. Paul's",21
"Blythe Road, Olympia","BBC White City, White City",20
"Waterloo Station 3, Waterloo","Holborn Circus, Holborn",20
"Cheshire Street, Bethnal Green","Pitfield Street North,Hoxton",20
"Normandy Road, Stockwell","Abbey Orchard Street, Westminster",20
"Queen Mary's, Mile End","New Road 1 , Whitechapel",20
"Cephas Street, Bethnal Green","Merchant Street, Bow",20
"Woodstock Grove, Shepherd's Bush","Spanish Road, Clapham Junction",20
"Hansard Mews, Holland Park","Curzon Street, Mayfair",20
"Hertford Road, De Beauvoir Town","Finsbury Circus, Liverpool Street",20
"Cranmer Road, Stockwell","Queen Street 2, Bank",20
"Mostyn Grove, Bow","Maplin Street, Mile End",20
"Pitfield Street Central, Hoxton","Wood Street, Guildhall",20
"Upcerne Road, West Chelsea","South Parade, Chelsea",20
"Coram Street, Bloomsbury","Hatton Garden, Holborn",20
"Greyhound Road, Hammersmith","Westfield Ariel Way, White City",20
"Waterloo Station 1, Waterloo","Hop Exchange, The Borough",20
"Albert Gardens, Stepney","Great Tower Street, Monument",20
"Old Street Station, St. Luke's","Macclesfield Rd, St Lukes",20
"Waterloo Station 3, Waterloo","Norton Folgate, Liverpool Street",20
"Globe Town Market, Bethnal Green","Roscoe Street, St. Luke's",20
"Eaton Square (South), Belgravia","The Vale, Chelsea",20
"London Street, Paddington","Page Street, Westminster",20
"South Kensington Station, South Kensington","Limerston Street, West Chelsea",20
"Manbre Road, Hammersmith","Barons Court Station, West Kensington",20
"Charlbert Street, St. John's Wood","Park Road (Baker Street), The Regent's Park",20
"Belgrove Street , King's Cross","Rathbone Street, Fitzrovia",20
"Sirdar Road, Avondale","Erin Close, Walham Green",20
"Sidney Road, Stockwell","Kennington Lane Rail Bridge, Vauxhall",20
"Waterloo Station 3, Waterloo","Newton Street, Covent Garden",20
"Humbolt Road, Fulham","Imperial College, Knightsbridge",20
"Goldsmith's Row, Haggerston","Finsbury Circus, Liverpool Street",20
"New Kent Road, The Borough","Alderney Street, Pimlico",20
"Finlay Street, Fulham","Penywern Road, Earl's Court",20
"Bonny Street, Camden Town","Abbey Orchard Street, Westminster",20
"Wormwood Street, Liverpool Street","St. James's Square, St. James's",20
"Queen's Circus, Battersea Park","St. Luke's Church, Chelsea",20
"Crosswall, Tower","Tallis Street, Temple",20
"Shoreditch High Street, Shoreditch","New Kent Road, The Borough",20
"Pitfield Street North,Hoxton","Moorfields, Moorgate",20
"Maida Vale, Maida Vale","Beaumont Street, Marylebone",20
"Crimscott Street, Bermondsey","Queen Street 1, Bank",19
"Warwick Road, Olympia","Hereford Road, Bayswater",19
"Kensington Olympia Station, Olympia","Union Street, The Borough",19
"Kennington Station, Kennington","Orbel Street, Battersea",19
"Pitfield Street North,Hoxton","Worship Street, Shoreditch",19
"Leman Street, Aldgate","Wormwood Street, Liverpool Street",19
"Grant Road East, Clapham Junction","Battersea Church Road, Battersea",19
"Falcon Road, Clapham Junction","Manresa Road, Chelsea",19
"Sopwith Way, Battersea Park","Peterborough Road, Sands End",19
"Limerston Street, West Chelsea","Curzon Street, Mayfair",19
"Wood Street, Guildhall","King Edward Street, St Pauls",19
"Paddington Street, Marylebone","Nutford Place, Marylebone",19
"Webber Street , Southwark","Hop Exchange, The Borough",19
"Waterloo Station 1, Waterloo","Museum of London, Barbican",19
"Normandy Road, Stockwell","St. Bride Street, Holborn",19
"Swan Street, The Borough","Baylis Road, Waterloo",19
"Belgrove Street , King's Cross","Sadlers Sports Centre, Finsbury",19
"Kennington Cross, Kennington","South Lambeth Road, Vauxhall",19
"Moorfields, Moorgate","Holborn Circus, Holborn",19
"Furze Green, Bow","Maplin Street, Mile End",19
"Waterloo Station 3, Waterloo","Baldwin Street, St. Luke's",19
"Taviton Street, Bloomsbury","Bolsover Street, Fitzrovia",19
"Stamford Street, South Bank","Brushfield Street, Liverpool Street",19
"St. George's Square, Pimlico","St. James's Square, St. James's",19
"Southwark Station 1, Southwark","Pennington Street, Wapping",19
"Macclesfield Rd, St Lukes","Bunhill Row, Moorgate",19
"Stanley Grove, Battersea","Battersea Park Road, Nine Elms",19
"Star Road, West Kensington","Penywern Road, Earl's Court",19
"Ossulston Street, Somers Town","Bayley Street , Bloomsbury",19
"Bouverie Street, Temple","Webber Street , Southwark",19
"Star Road, West Kensington","Peterborough Road, Sands End",19
"Waterloo Station 1, Waterloo","Holborn Circus, Holborn",19
"Devonshire Square, Liverpool Street","Tooley Street, Bermondsey",19
"Waterloo Station 3, Waterloo","St. James's Square, St. James's",19
"Baylis Road, Waterloo","Crosswall, Tower",19
"World's End Place, West Chelsea","Imperial College, Knightsbridge",19
"Alpha Grove, Millwall","Twig Folly Bridge, Mile End",19
"Greyhound Road, Hammersmith","Barons Court Station, West Kensington",19
"Waterloo Station 3, Waterloo","Chapel Place, Marylebone",19
"Duke Street Hill, London Bridge","Bunhill Row, Moorgate",19
"Macclesfield Rd, St Lukes","Museum of London, Barbican",18
"Eagle Wharf Road, Hoxton","Baldwin Street, St. Luke's",18
"Belgrave Square, Belgravia","Phillimore Gardens, Kensington",18
"Snow Hill, Farringdon","Union Street, The Borough",18
"Snowsfields, London Bridge","Harper Road, The Borough",18
"Clements Road, Bermondsey","George Row, Bermondsey",18
"Waterloo Station 1, Waterloo","Brushfield Street, Liverpool Street",18
"Hertford Road, De Beauvoir Town","Guilford Street , Bloomsbury",18
"Albert Bridge Road, Battersea Park","Falcon Road, Clapham Junction",18
"Eagle Wharf Road, Hoxton","Cheapside, Bank",18
"Belgrove Street , King's Cross","Wren Street, Holborn",18
"Belgrove Street , King's Cross","High Holborn , Covent Garden",18
"Drummond Street , Euston","Victoria & Albert Museum, South Kensington",18
"Crimscott Street, Bermondsey","Empire Square, The Borough",18
"Rampayne Street, Pimlico","Ashley Place, Victoria",18
"Kennington Lane Rail Bridge, Vauxhall","Abingdon Green, Westminster",18
"Baylis Road, Waterloo","Snowsfields, London Bridge",18
"Ethelburga Estate, Battersea Park","Battersea Park Road, Nine Elms",18
"Eagle Wharf Road, Hoxton","Finsbury Circus, Liverpool Street",18
"Normandy Road, Stockwell","Belgrave Road, Victoria",18
"Allington Street, Victoria","Pall Mall East, West End",18
"Ashley Crescent, Battersea","South Parade, Chelsea",18
"Edgware Road Station, Marylebone","Chapel Place, Marylebone",18
"Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",18
"Prince Albert Road, The Regent's Park","South Wharf Road, Paddington",18
"Waterloo Station 1, Waterloo","Finsbury Circus, Liverpool Street",18
"Usk Road, Clapham Junction","Grant Road East, Clapham Junction",18
"Belgrove Street , King's Cross","Great Russell Street, Bloomsbury",18
"Bramham Gardens, Earl's Court","Kensington Town Hall, Kensington",18
"Finsbury Leisure Centre, St. Luke's","Worship Street, Shoreditch",18
"Pitfield Street Central, Hoxton","Museum of London, Barbican",18
"Palissy Street, Shoreditch","Brushfield Street, Liverpool Street",18
"Old Montague Street, Whitechapel","Farringdon Lane, Clerkenwell",18
"Walnut Tree Walk, Vauxhall","Guilford Street , Bloomsbury",18
"Finsbury Circus, Liverpool Street","New Fetter Lane, Holborn",18
"Imperial College, Knightsbridge","Clarges Street, Mayfair",18
"Waterloo Station 3, Waterloo","Finsbury Square , Moorgate",18
"Macclesfield Rd, St Lukes","Fore Street Avenue, Guildhall",18
"Crosswall, Tower","Newgate Street , St. Paul's",18
"Duke Street Hill, London Bridge","Worship Street, Shoreditch",18
"Pritchard's Road, Bethnal Green","York Hall, Bethnal Green",18
"Tower Wharf, Bermondsey","Bermondsey Station, Bermondsey",18
"Everington Street, Fulham","Barons Court Station, West Kensington",18
"Harris Academy, Bermondsey","Moorfields, Moorgate",18
"Nesham Street, Wapping","Northumberland Avenue, Strand",18
