index,finance,leisure,residence,restaurant,shopping,university
"Chicheley Street, South Bank",1,5,6,7,6,0.00001
"Chrisp Street Market, Poplar",2,10,1,2,10,1
"Christopher Street, Liverpool Street",0.00001,7,3,7,0.00001,0.00001
"City Road, Angel",1,1,0.00001,2,5,0.00001
"Clapham Common North Side, Clapham Common",0.00001,1,2,0.00001,1,0.00001
"Clapham Common Station, Clapham Common",4,8,1,12,8,0.00001
"Clapham Road, Lingham Street, Stockwell",0.00001,0.00001,0.00001,1,6,0.00001
"Claremont Square, Angel",1,2,2,2,5,1
"Clarence Walk, Stockwell",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Clarendon Road, Avondale",0.00001,2,1,1,2,0.00001
"Clarges Street, Mayfair",2,4,15,25,17,0.00001
"Clarkson Street, Bethnal Green",2,2,0.00001,0.00001,3,0.00001
"Claverton Street, Pimlico",1,0.00001,0.00001,0.00001,0.00001,0.00001
"Cleaver Street, Kennington",0.00001,6,1,8,10,0.00001
"Clerkenwell Green, Clerkenwell",1,3,2,5,3,0.00001
"Cleveland Gardens, Bayswater",0.00001,1,1,0.00001,3,0.00001
"Cleveland Way, Stepney",1,0.00001,0.00001,0.00001,2,0.00001
"Clifford Street, Mayfair",0.00001,3,6,8,37,0.00001
"Clifton Road, Maida Vale",0.00001,1,0.00001,1,3,0.00001
"Clifton Street, Shoreditch",1,3,1,4,1,0.00001
"Clinton Road, Mile End",2,13,2,0.00001,0.00001,0.00001
"Cloudesley Road, Angel",1,1,1,4,5,0.00001
"Collingham Gardens, Earl's Court",0.00001,0.00001,3,0.00001,0.00001,0.00001
"Columbia Road, Shoreditch",3,0.00001,0.00001,0.00001,4,0.00001
"Commercial Street, Shoreditch",1,7,4,4,6,0.00001
"Concert Hall Approach 1, South Bank",0.00001,0.00001,1,2,0.00001,0.00001
"Coomer Place, West Kensington",2,3,0.00001,3,11,0.00001
"Copper Box Arena, Queen Elizabeth Olympic Park",0.00001,5,2,10,0.00001,0.00001
"Coram Street, Bloomsbury",0.00001,1,0.00001,1,1,0.00001
"Cotton Garden Estate, Kennington",0.00001,0.00001,0.00001,3,3,0.00001
"Courland Grove, Wandsworth Road",0.00001,3,0.00001,1,6,0.00001
"Crabtree Lane, Fulham",3,0.00001,0.00001,1,4,0.00001
"Cranmer Road, Stockwell",0.00001,1,1,8,11,0.00001
"Craven Street, Strand",7,23,10,14,22,0.00001
"Crawford Street, Marylebone",0.00001,3,5,9,3,0.00001
"Crimscott Street, Bermondsey",0.00001,1,0.00001,1,2,0.00001
"Crinan Street, King's Cross",0.00001,4,1,3,5,0.00001
"Crisp Road, Hammersmith",0.00001,1,0.00001,0.00001,1,0.00001
"Cromer Street, Bloomsbury",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Crosswall, Tower",4,12,4,17,5,0.00001
"Curlew Street, Shad Thames",0.00001,2,2,6,2,0.00001
"Danvers Street, West Chelsea",0.00001,4,4,1,0.00001,0.00001
"De Vere Gardens, Kensington",0.00001,5,3,5,1,0.00001
"Denyer Street, Knightsbridge",0.00001,2,2,4,27,0.00001
"Derry Street, Kensington",0.00001,6,8,13,34,0.00001
"Devons Road, Bow",0.00001,3,2,0.00001,0.00001,0.00001
"Devonshire Square, Liverpool Street",5,17,4,12,5,0.00001
"Devonshire Terrace, Bayswater",0.00001,2,4,3,7,0.00001
"Dickens Square, Borough",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Disraeli Road, Putney",4,0.00001,2,0.00001,1,0.00001
"Dock Street, Wapping",0.00001,4,0.00001,0.00001,2,0.00001
"Doddington Grove, Kennington",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Doric Way , Somers Town",6,5,1,7,6,0.00001
"Dorothy Road, Clapham Junction",2,3,1,5,5,0.00001
"Dorset Square, Marylebone",0.00001,3,1,5,4,0.00001
"Drayton Gardens, West Chelsea",0.00001,3,5,10,13,0.00001
"Drummond Street , Euston",0.00001,0.00001,2,2,3,0.00001
"Drury Lane, Covent Garden",1,5,1,5,7,0.00001
"Duke Street Hill, London Bridge",2,10,2,8,13,0.00001
"Dunston Road , Haggerston",0.00001,1,0.00001,0.00001,2,0.00001
"Durant Street, Bethnal Green",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Eagle Wharf Road, Hoxton",0.00001,2,0.00001,1,1,1
"Earnshaw Street , Covent Garden",4,5,5,14,7,0.00001
"East Ferry Road, Cubitt Town",1,6,0.00001,0.00001,3,0.00001
"East India DLR, Blackwall",1,3,1,2,3,0.00001
"East Road, Hoxton",1,2,0.00001,1,4,0.00001
"East Village, Queen Elizabeth Olympic Park",2,10,2,3,4,0.00001
"Eastbourne Mews, Paddington",3,4,1,2,4,0.00001
"Eaton Square (South), Belgravia",0.00001,0.00001,9,0.00001,0.00001,0.00001
"Eaton Square, Belgravia",0.00001,5,8,0.00001,0.00001,0.00001
"Ebury Bridge, Pimlico",0.00001,3,0.00001,0.00001,2,0.00001
"Eccleston Place, Victoria",4,5,5,3,8,0.00001
"Edgware Road Station, Marylebone",2,10,2,5,14,0.00001
"Eel Brook Common, Walham Green",0.00001,0.00001,1,1,0.00001,0.00001
"Elizabeth Bridge, Victoria",0.00001,1,0.00001,0.00001,1,0.00001
"Elysium Place, Fulham",0.00001,0.00001,0.00001,0.00001,4,0.00001
"Embankment (Savoy), Strand",1,4,5,7,7,0.00001
